x_center,y_center,max value,threshold,y_upper,y_lower
33,502,3392,678.4,486,515
55,501,3019,603.8,487,514
100,502,3169,633.8,488,513
130,501,3229,645.8,490,513
163,502,3139,627.8,490,511
221,502,3385,677,491,510
297,500,3519,703.8,491,509
373,500,3392,678.4,493,507
417,499,3124,624.8,494,504
442,500,3496,699.2,495,504
474,499,2932,586.4,496,503
514,499,3184,636.8,497,502
641,502,3698,739.6,499,505
720,503,3456,691.2,496,509
749,501,2325,465,494,508
837,501,2307,461.4,489,514
911,499,3035,607,488,511
985,497,2508,501.6,487,514
1073,497,1612,322.4,487,515
1114,499,2054,410.8,486,517
1241,498,1576,315.2,483,520
1269,499,1541,308.2,483,521
